,Id,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,CITY,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
169524,169525,9574852,48,14,single,rented,yes,Surveyor,South_Dumdum,West_Bengal,14,10,0
24521,24522,5028396,38,16,single,rented,no,Flight_attendant,"Khora,_Ghaziabad",Uttar_Pradesh,4,10,0
199728,199729,3736039,38,20,single,rented,no,Artist,Jamnagar,Gujarat,4,14,0
109781,109782,77279,69,17,single,rented,no,Civil_servant,Gaya,Bihar,10,14,0
148514,148515,66912,27,10,married,rented,no,Software_Developer,Jalandhar,Punjab,10,14,0
237840,237841,3558469,39,5,married,rented,yes,Psychologist,Guwahati,Assam,4,10,0
9934,9935,3921757,77,11,single,rented,no,Economist,Kolkata,West_Bengal,3,14,1
218300,218301,543808,71,15,single,rented,no,Firefighter,Akola,Maharashtra,12,10,0
3630,3631,5025618,35,7,single,rented,no,Artist,Parbhani,Maharashtra,7,12,0
33347,33348,2712710,70,8,single,rented,no,Psychologist,Khandwa,Madhya_Pradesh,5,11,0
143291,143292,5384499,44,2,married,owned,yes,Librarian,Suryapet,Telangana,2,13,0
150943,150944,4974476,43,18,single,rented,no,Army_officer,Ranchi,Jharkhand,3,10,0
12675,12676,6577271,51,19,single,rented,no,Aviator,Rajpur_Sonarpur,West_Bengal,10,10,0
238649,238650,3369473,44,8,married,rented,no,Technology_specialist,Gandhidham,Gujarat,8,13,1
61110,61111,9337934,67,16,single,norent_noown,no,Surgeon,Dhule,Maharashtra,4,13,0
206537,206538,5931557,67,8,single,rented,yes,Physician,Rajpur_Sonarpur,West_Bengal,8,12,0
233338,233339,6111107,78,0,single,rented,no,Psychologist,Parbhani,Maharashtra,0,10,0
72289,72290,9842635,60,7,married,owned,yes,Politician,Malda,West_Bengal,7,11,0
87237,87238,8025541,53,9,married,rented,no,Chemical_engineer,Ghaziabad,Uttar_Pradesh,7,14,0
169043,169044,415771,77,10,single,rented,no,Scientist,Muzaffarpur,Bihar,10,12,0
152598,152599,2946448,63,0,single,rented,no,Dentist,Munger,Bihar,0,13,1
201325,201326,5671193,30,20,single,rented,no,Surveyor,Bahraich,Uttar_Pradesh,11,14,0
216190,216191,2201214,55,2,single,rented,no,Financial_Analyst,Ambarnath,Maharashtra,2,14,1
229072,229073,1433078,52,17,single,rented,no,Consultant,Gaya,Bihar,3,14,0
112678,112679,6658067,75,10,single,rented,no,Dentist,Panihati,West_Bengal,8,10,0
122600,122601,656817,73,1,single,rented,no,Comedian,Adoni,Andhra_Pradesh,1,12,0
104610,104611,5792043,71,6,single,norent_noown,yes,Graphic_Designer,Panipat,Haryana,6,11,0
157506,157507,5639809,75,0,single,rented,no,Drafter,Dehradun,Uttarakhand,0,10,0
53125,53126,5666785,42,7,single,rented,no,Computer_hardware_engineer,Aurangabad,Maharashtra,7,12,0
224458,224459,8668988,41,4,single,rented,no,Hotel_Manager,Kamarhati,West_Bengal,4,11,0
231905,231906,4055958,29,12,single,norent_noown,no,Engineer,Hindupur,Andhra_Pradesh,9,14,1
138940,138941,5360213,64,12,single,rented,yes,Chartered_Accountant,Siwan[32],Bihar,4,14,0
244849,244850,4206392,41,5,single,rented,no,Air_traffic_controller,Tadepalligudem,Andhra_Pradesh,5,13,0
164834,164835,3994234,72,18,single,rented,no,Surgeon,Thanjavur,Tamil_Nadu,4,13,0
15102,15103,4239717,21,5,single,rented,no,Scientist,Ghaziabad,Uttar_Pradesh,5,12,0
151429,151430,908803,22,18,single,rented,no,Librarian,Morena,Madhya_Pradesh,3,14,0
157947,157948,5395461,71,10,single,rented,no,Technology_specialist,Chinsurah,West_Bengal,5,10,0
38684,38685,9676479,48,17,married,rented,no,Analyst,Salem,Tamil_Nadu,14,14,0
75656,75657,2966907,30,6,married,rented,yes,Magistrate,Tiruppur,Tamil_Nadu,5,12,0
34290,34291,5888261,78,6,single,rented,no,Physician,Adoni,Andhra_Pradesh,3,10,0
221231,221232,5888647,21,12,married,rented,yes,Chemical_engineer,Tenali,Andhra_Pradesh,12,11,1
195428,195429,4005758,79,11,single,rented,yes,Civil_engineer,Pondicherry,Puducherry,7,12,0
104459,104460,1100548,49,3,single,rented,yes,Technical_writer,Surat,Gujarat,3,10,0
191082,191083,7098144,60,1,single,rented,no,Chartered_Accountant,Dibrugarh,Assam,1,13,0
34121,34122,1481287,33,19,single,rented,yes,Fashion_Designer,Nanded,Maharashtra,8,11,0
212507,212508,6942586,23,6,single,rented,yes,Technology_specialist,Belgaum,Karnataka,5,10,0
44703,44704,2824175,54,0,single,rented,no,Chef,Serampore,West_Bengal,0,10,0
199428,199429,4175765,79,3,single,rented,no,Physician,Mysore[7][8][9],Karnataka,3,13,1
3452,3453,5003285,54,9,single,owned,no,Web_designer,Morena,Madhya_Pradesh,9,11,0
191265,191266,5178562,28,9,single,rented,no,Magistrate,Bulandshahr,Uttar_Pradesh,9,12,0
241952,241953,1370214,60,5,single,rented,no,Biomedical_Engineer,Varanasi,Uttar_Pradesh,5,13,0
60364,60365,3691589,58,10,single,rented,no,Designer,Kadapa[23],Andhra_Pradesh,10,14,0
12403,12404,9717828,22,13,single,rented,yes,Air_traffic_controller,Delhi_city,Delhi,10,14,0
165909,165910,4006666,24,11,single,rented,no,Lawyer,Panihati,West_Bengal,9,12,0
200155,200156,8802134,69,5,single,rented,yes,Politician,Chennai,Tamil_Nadu,5,10,0
27489,27490,3372296,26,10,married,rented,no,Magistrate,Indore,Madhya_Pradesh,10,12,0
163870,163871,8236810,40,0,single,rented,yes,Firefighter,Nagpur,Maharashtra,0,12,1
74022,74023,2460009,62,9,single,rented,no,Web_designer,Kottayam,Kerala,6,13,0
71566,71567,5541889,75,11,single,rented,no,Petroleum_Engineer,Hajipur[31],Bihar,10,13,0
2284,2285,4516990,69,9,single,rented,no,Lawyer,Aligarh,Uttar_Pradesh,9,11,1
15497,15498,2267970,64,5,single,rented,no,Civil_engineer,Hindupur,Andhra_Pradesh,5,10,0
148361,148362,3209350,57,5,single,rented,yes,Chef,Bellary,Karnataka,5,13,0
39084,39085,6641682,42,0,single,rented,no,Industrial_Engineer,Ulhasnagar,Maharashtra,0,10,1
69563,69564,298328,46,6,single,rented,no,Engineer,Dehri[30],Bihar,5,12,0
16825,16826,4360408,47,19,single,rented,no,Industrial_Engineer,Ratlam,Madhya_Pradesh,6,13,0
201380,201381,9493039,55,16,single,rented,no,Graphic_Designer,Darbhanga,Bihar,13,11,0
247377,247378,8405858,66,15,single,rented,yes,Design_Engineer,Raebareli,Uttar_Pradesh,13,14,0
66981,66982,1771499,25,15,single,norent_noown,no,Industrial_Engineer,Bareilly,Uttar_Pradesh,14,14,0
4775,4776,7102815,30,13,single,rented,no,Army_officer,Muzaffarnagar,Uttar_Pradesh,13,13,1
168437,168438,7876459,73,3,single,rented,yes,Design_Engineer,Visakhapatnam[4],Andhra_Pradesh,3,12,0
8303,8304,3994234,72,18,single,rented,no,Surgeon,Thanjavur,Tamil_Nadu,4,13,0
133088,133089,3227716,71,10,single,rented,yes,Analyst,Kochi,Kerala,10,13,0
246110,246111,7829791,76,19,single,rented,yes,Software_Developer,Morbi,Gujarat,10,12,0
111792,111793,5850440,68,20,married,rented,no,Physician,Aurangabad[39],Bihar,11,12,0
112385,112386,2045384,52,5,single,rented,no,Economist,Tirunelveli,Tamil_Nadu,5,10,0
16578,16579,9800971,62,14,single,rented,no,Aviator,Jorhat,Assam,3,13,0
50431,50432,6118487,42,12,single,rented,yes,Technical_writer,Srikakulam,Andhra_Pradesh,3,11,0
18638,18639,7835117,40,3,single,rented,yes,Technical_writer,Guwahati,Assam,3,14,0
65305,65306,6814983,51,18,single,rented,no,Software_Developer,Ballia,Uttar_Pradesh,14,11,0
57962,57963,1400551,66,4,single,rented,yes,Official,Kochi,Kerala,4,11,0
209626,209627,9035152,56,10,single,rented,no,Air_traffic_controller,Kulti,West_Bengal,10,14,0
170939,170940,3846302,66,14,single,rented,yes,Petroleum_Engineer,Bhatpara,West_Bengal,6,11,0
179482,179483,6420146,57,19,single,rented,yes,Statistician,Ghaziabad,Uttar_Pradesh,9,13,0
232782,232783,8299617,29,1,single,rented,yes,Army_officer,Rourkela,Odisha,1,10,0
7340,7341,7979699,47,15,married,rented,yes,Computer_operator,Karnal,Haryana,10,13,0
150897,150898,9768584,52,14,married,rented,yes,Magistrate,Barasat,West_Bengal,11,10,0
201006,201007,826478,33,15,single,rented,no,Drafter,Ludhiana,Punjab,13,11,0
139438,139439,5576354,76,20,single,rented,yes,Firefighter,Dharmavaram,Andhra_Pradesh,6,10,0
233735,233736,6930713,55,15,single,rented,no,Firefighter,Purnia[26],Bihar,12,13,0
43905,43906,8136993,21,16,single,owned,no,Artist,Ramgarh,Jharkhand,3,11,0
150364,150365,5041519,63,18,married,rented,no,Civil_engineer,Jodhpur,Rajasthan,10,13,0
1540,1541,44231,54,13,married,rented,no,Chemical_engineer,Tirupati[21][22],Andhra_Pradesh,4,12,0
198767,198768,6767059,53,10,single,rented,no,Magistrate,Dehri[30],Bihar,10,11,0
232381,232382,9456107,39,13,single,rented,no,Army_officer,Bhubaneswar,Odisha,10,14,0
113447,113448,1729774,28,6,married,rented,yes,Technical_writer,Nadiad,Gujarat,5,10,0
166986,166987,1406166,56,8,single,rented,yes,Physician,Ratlam,Madhya_Pradesh,8,13,0
35636,35637,5258493,38,8,single,rented,no,Microbiologist,Kanpur,Uttar_Pradesh,6,12,0
60114,60115,3487781,65,7,single,rented,no,Politician,Alappuzha,Kerala,7,10,0
137678,137679,2909945,59,10,single,rented,no,Civil_servant,Surat,Gujarat,8,14,0
71634,71635,7767715,59,4,single,rented,no,Air_traffic_controller,Visakhapatnam[4],Andhra_Pradesh,4,14,0
227201,227202,2215802,43,17,single,rented,no,Computer_hardware_engineer,Bhalswa_Jahangir_Pur,Delhi,6,10,0
19560,19561,8996000,75,14,single,rented,yes,Air_traffic_controller,Srinagar,Jammu_and_Kashmir,9,11,0
87386,87387,8996089,71,5,single,rented,no,Librarian,Bhilai,Chhattisgarh,5,12,0
172069,172070,6666406,79,4,single,rented,no,Graphic_Designer,Rohtak,Haryana,4,12,0
202428,202429,7613756,41,15,single,rented,no,Official,Malda,West_Bengal,10,13,0
246884,246885,7207674,37,14,single,rented,yes,Official,Bidhannagar,West_Bengal,14,12,0
42555,42556,4739803,70,18,single,rented,no,Air_traffic_controller,Bhubaneswar,Odisha,3,12,0
52012,52013,4811867,41,18,married,rented,no,Civil_servant,Belgaum,Karnataka,10,10,0
248438,248439,666907,71,0,single,rented,yes,Chartered_Accountant,Dibrugarh,Assam,0,14,0
225473,225474,7683197,33,11,single,rented,yes,Official,Dibrugarh,Assam,11,13,1
218439,218440,2582663,25,18,single,rented,no,Financial_Analyst,Gangtok,Sikkim,11,14,0
40333,40334,8359091,60,5,single,rented,no,Graphic_Designer,Imphal,Manipur,5,13,0
150881,150882,1051945,70,7,married,rented,no,Firefighter,Mehsana,Gujarat,7,12,1
105400,105401,2648533,27,20,single,rented,no,Flight_attendant,Udupi,Karnataka,5,11,0
174879,174880,7090163,52,17,single,rented,no,Civil_servant,Tiruvottiyur,Tamil_Nadu,7,11,0
246978,246979,9169953,78,8,single,rented,no,Drafter,Durg,Chhattisgarh,3,12,1
110578,110579,2675511,69,3,single,rented,no,Chartered_Accountant,Vijayanagaram,Andhra_Pradesh,3,10,0
11720,11721,9253093,54,2,single,rented,yes,Secretary,Danapur,Bihar,2,12,0
137968,137969,7059529,63,8,single,rented,yes,Fashion_Designer,Katihar,Bihar,8,13,1
16680,16681,163900,61,7,single,rented,no,Economist,Gulbarga,Karnataka,5,14,0
241519,241520,5355144,60,16,married,rented,no,Architect,Gandhinagar,Gujarat,9,13,0
18989,18990,7192065,61,11,married,rented,no,Design_Engineer,Nandyal,Andhra_Pradesh,11,14,0
47219,47220,2570620,53,11,single,rented,no,Web_designer,Gaya,Bihar,10,11,0
12038,12039,850458,75,1,single,rented,no,Hotel_Manager,Ambala,Haryana,1,12,0
10106,10107,4277458,41,8,single,rented,no,Civil_engineer,Kumbakonam,Tamil_Nadu,8,11,0
35780,35781,2967995,21,11,single,rented,yes,Official,Solapur,Maharashtra,11,11,0
182596,182597,4253315,66,7,single,rented,no,Chemical_engineer,Vasai-Virar,Maharashtra,7,11,0
176336,176337,2487718,24,12,single,owned,no,Police_officer,Ludhiana,Punjab,10,11,0
112490,112491,2537444,49,1,single,rented,yes,Hotel_Manager,Muzaffarpur,Bihar,1,12,0
107132,107133,76353,45,6,single,rented,yes,Civil_engineer,Kalyan-Dombivli,Maharashtra,6,13,1
207807,207808,110437,41,8,single,rented,no,Police_officer,Gopalpur,West_Bengal,8,12,1
212598,212599,4097229,28,9,single,rented,no,Comedian,Sri_Ganganagar,Rajasthan,9,12,0
135200,135201,9812058,72,1,single,rented,yes,Economist,Thrissur,Kerala,1,14,0
147606,147607,9502583,42,7,single,rented,yes,Technician,Rajpur_Sonarpur,West_Bengal,7,10,0
14361,14362,9576816,45,5,single,rented,no,Aviator,Hazaribagh,Jharkhand,5,14,1
148720,148721,8856107,53,20,single,rented,no,Civil_engineer,Panchkula,Haryana,8,12,0
237795,237796,8995897,64,9,married,rented,no,Architect,Dibrugarh,Assam,7,13,0
114735,114736,7475446,60,13,married,rented,no,Firefighter,Chandigarh_city,Chandigarh,5,14,0
100199,100200,9867211,56,2,single,rented,no,Chartered_Accountant,Munger,Bihar,2,14,0
42209,42210,5910956,31,15,single,norent_noown,no,Surveyor,Sultan_Pur_Majra,Delhi,8,10,0
62767,62768,7769983,61,19,single,rented,no,Magistrate,Junagadh,Gujarat,8,14,1
6606,6607,4295071,42,12,single,norent_noown,no,Chemical_engineer,Dhanbad,Jharkhand,5,10,0
54662,54663,3019204,29,14,single,rented,no,Surgeon,Arrah,Bihar,4,10,0
213392,213393,739809,55,4,single,rented,no,Artist,Vijayanagaram,Andhra_Pradesh,4,12,1
236401,236402,2742139,42,1,single,rented,no,Artist,Hospet,Karnataka,1,14,0
129760,129761,6847133,69,7,single,rented,no,Surgeon,Dhanbad,Jharkhand,6,10,0
157227,157228,1832053,63,14,married,rented,yes,Secretary,Nashik,Maharashtra,7,14,0
190092,190093,329515,50,10,single,rented,no,Computer_hardware_engineer,Dharmavaram,Andhra_Pradesh,4,11,0
134335,134336,7438038,33,6,single,norent_noown,no,Politician,Tenali,Andhra_Pradesh,6,12,0
138608,138609,3081814,32,12,single,owned,no,Aviator,Lucknow,Uttar_Pradesh,3,13,0
134808,134809,8245315,30,12,single,rented,no,Magistrate,Raurkela_Industrial_Township,Odisha,4,11,0
150241,150242,4059797,29,7,single,rented,no,Psychologist,Guwahati,Assam,6,12,0
10946,10947,6816106,31,20,single,rented,yes,Statistician,Adoni,Andhra_Pradesh,11,14,0
249030,249031,6693088,74,5,single,rented,yes,Hotel_Manager,Munger,Bihar,5,12,0
238707,238708,2607277,66,19,married,rented,no,Physician,Gopalpur,West_Bengal,6,11,0
111335,111336,6859181,37,6,married,rented,no,Chemical_engineer,Durgapur,West_Bengal,3,14,0
163422,163423,5927472,54,1,single,rented,no,Chef,Kollam,Kerala,1,10,0
240782,240783,3231606,39,20,single,rented,no,Statistician,Eluru[25],Andhra_Pradesh,5,12,0
113782,113783,1625328,49,19,single,rented,yes,Firefighter,Ballia,Uttar_Pradesh,9,12,0
231429,231430,8515128,43,4,single,rented,yes,Analyst,Begusarai,Bihar,4,10,0
100161,100162,9605093,25,7,single,rented,no,Librarian,Imphal,Manipur,7,12,0
72862,72863,3917443,27,4,single,rented,no,Geologist,Amritsar,Punjab,4,13,0
57528,57529,3602416,48,3,single,rented,no,Air_traffic_controller,Ratlam,Madhya_Pradesh,3,13,0
4065,4066,5408156,77,2,single,rented,no,Chemical_engineer,Phusro,Jharkhand,2,14,0
238059,238060,8766082,72,11,single,rented,no,Microbiologist,Allahabad,Uttar_Pradesh[5],11,10,0
166395,166396,4059797,29,7,single,rented,no,Psychologist,Guwahati,Assam,6,12,0
68632,68633,757592,23,5,married,rented,no,Consultant,Dehri[30],Bihar,3,10,0
10891,10892,2506726,54,11,single,rented,no,Designer,Jalna,Maharashtra,6,14,0
50335,50336,9532596,50,12,single,rented,no,Aviator,Fatehpur,Uttar_Pradesh,10,10,0
151960,151961,7505343,58,15,single,rented,no,Chemical_engineer,Giridih,Jharkhand,4,14,0
34855,34856,3608549,23,0,single,rented,no,Technology_specialist,Nanded,Maharashtra,0,11,0
68348,68349,1874022,44,15,single,rented,no,Mechanical_engineer,Thanjavur,Tamil_Nadu,7,14,0
106688,106689,3584197,58,11,single,rented,no,Software_Developer,Srikakulam,Andhra_Pradesh,11,10,0
99420,99421,1208514,72,6,single,rented,no,Analyst,Deoghar,Jharkhand,6,10,0
184496,184497,3150849,56,2,single,rented,no,Analyst,Hyderabad,Telangana,2,13,0
81922,81923,7098273,67,10,single,rented,no,Chartered_Accountant,Eluru[25],Andhra_Pradesh,3,12,1
236893,236894,6235535,72,1,single,norent_noown,no,Civil_engineer,Dhule,Maharashtra,1,14,0
147767,147768,4142958,60,2,single,rented,no,Surveyor,Erode[17],Tamil_Nadu,2,11,0
216953,216954,3520475,37,14,single,rented,no,Magistrate,Dewas,Madhya_Pradesh,6,13,0
239888,239889,2454676,74,12,single,rented,yes,Graphic_Designer,Chinsurah,West_Bengal,8,14,0
179077,179078,9543987,50,13,single,rented,no,Design_Engineer,Agra,Uttar_Pradesh,11,14,0
100526,100527,2139734,75,8,single,rented,yes,Engineer,Buxar[37],Bihar,4,11,0
61001,61002,9776434,48,11,single,norent_noown,no,Computer_operator,Pudukkottai,Tamil_Nadu,3,13,0
92310,92311,2122622,59,8,single,rented,no,Chemical_engineer,Dhanbad,Jharkhand,8,14,0
140876,140877,2740172,72,16,single,rented,no,Engineer,New_Delhi,Delhi,10,13,0
87582,87583,5979967,54,4,single,rented,no,Surgeon,Bihar_Sharif,Bihar,4,10,0
239276,239277,9446893,32,14,single,owned,no,Dentist,Belgaum,Karnataka,12,13,0
31898,31899,8247003,73,10,single,rented,no,Chartered_Accountant,Ludhiana,Punjab,4,13,0
214744,214745,5829652,25,7,single,owned,no,Biomedical_Engineer,Chandigarh_city,Chandigarh,7,11,0
65325,65326,2926477,78,19,single,rented,no,Physician,Firozabad,Uttar_Pradesh,3,10,1
240510,240511,1473284,24,20,single,rented,no,Software_Developer,Kamarhati,West_Bengal,11,11,0
35810,35811,9017624,70,19,single,norent_noown,no,Financial_Analyst,Tumkur,Karnataka,6,14,0
89429,89430,5122648,62,14,single,rented,yes,Computer_hardware_engineer,Maheshtala,West_Bengal,4,10,0
121545,121546,7779778,27,11,single,rented,no,Engineer,Rohtak,Haryana,8,12,0
134741,134742,4830100,37,11,married,rented,yes,Drafter,Udupi,Karnataka,11,12,0
4851,4852,5917275,53,19,single,rented,no,Scientist,Kolhapur,Maharashtra,7,12,0
246230,246231,9241799,50,18,single,rented,yes,Magistrate,Raebareli,Uttar_Pradesh,13,14,0
4013,4014,1685809,48,18,single,rented,yes,Physician,South_Dumdum,West_Bengal,3,12,0
209383,209384,7440935,34,0,single,rented,yes,Chemical_engineer,Raiganj,West_Bengal,0,14,0
1730,1731,2776190,64,16,single,rented,yes,Consultant,Naihati,West_Bengal,4,10,0
54471,54472,16045,56,5,single,norent_noown,no,Technician,Thane,Maharashtra,5,10,0
55144,55145,8001918,41,5,single,rented,no,Economist,Bulandshahr,Uttar_Pradesh,5,14,0
212833,212834,2619515,49,8,single,rented,yes,Surgeon,Bhimavaram,Andhra_Pradesh,8,13,0
139561,139562,2175094,29,4,single,rented,yes,Economist,Srinagar,Jammu_and_Kashmir,4,11,0
77451,77452,8830162,77,18,single,rented,no,Surgeon,Jaunpur,Uttar_Pradesh,14,13,0
53154,53155,6548891,30,5,single,rented,no,Psychologist,Sri_Ganganagar,Rajasthan,5,12,0
108361,108362,3171323,21,17,single,rented,no,Industrial_Engineer,Shimla,Himachal_Pradesh,5,12,0
49397,49398,4157390,34,17,married,rented,no,Statistician,Siliguri,West_Bengal,12,13,0
235703,235704,3813729,31,11,single,rented,no,Magistrate,Gangtok,Sikkim,9,10,1
169628,169629,9961539,41,8,single,owned,yes,Geologist,Sambhal,Uttar_Pradesh,8,10,0
9560,9561,9945612,48,15,single,rented,yes,Politician,Chandrapur,Maharashtra,7,10,0
1666,1667,5186921,40,4,single,rented,yes,Surveyor,Khammam,Telangana,4,10,0
197408,197409,4270229,73,5,single,rented,no,Scientist,Chapra,Bihar,5,11,0
55422,55423,4245438,43,9,single,rented,yes,Psychologist,Udupi,Karnataka,6,11,0
174142,174143,2890690,24,19,single,rented,yes,Civil_servant,Pudukkottai,Tamil_Nadu,13,13,0
97206,97207,4043791,48,18,single,rented,yes,Architect,Malda,West_Bengal,13,14,0
65562,65563,6951975,54,3,single,rented,yes,Analyst,Hubliâ€“Dharwad,Karnataka,3,11,0
10115,10116,6666406,79,4,single,rented,no,Graphic_Designer,Rohtak,Haryana,4,12,0
103873,103874,9179456,43,15,single,rented,no,Army_officer,Bellary,Karnataka,7,11,0
220475,220476,6956676,56,5,single,rented,no,Graphic_Designer,Dewas,Madhya_Pradesh,5,12,0
111891,111892,2871831,38,14,single,rented,no,Firefighter,Hajipur[31],Bihar,11,13,0
46412,46413,9181312,31,5,single,rented,no,Architect,Dhule,Maharashtra,5,13,1
56004,56005,6699313,58,6,single,rented,no,Librarian,Bhopal,Madhya_Pradesh,6,10,0
72553,72554,8783890,34,9,single,rented,no,Consultant,Karimnagar,Telangana,4,13,0
59512,59513,233888,64,1,single,rented,no,Psychologist,Tumkur,Karnataka,1,10,0
208007,208008,7834876,26,9,married,rented,no,Technician,Silchar,Assam,9,14,0
133800,133801,4043789,55,17,single,rented,no,Chef,Hospet,Karnataka,10,11,0
9726,9727,2724690,56,1,single,rented,yes,Civil_servant,"Khora,_Ghaziabad",Uttar_Pradesh,1,12,1
61208,61209,2907457,55,18,single,rented,no,Hotel_Manager,Medininagar,Jharkhand,10,14,0
69941,69942,1258437,36,19,single,rented,no,Statistician,Thiruvananthapuram,Kerala,11,11,0
239353,239354,5836002,55,13,single,rented,yes,Artist,"Khora,_Ghaziabad",Uttar_Pradesh,8,14,0
209042,209043,3438381,46,6,single,rented,no,Web_designer,Khandwa,Madhya_Pradesh,6,12,0
236186,236187,7095397,54,0,single,rented,no,Hotel_Manager,Tiruppur,Tamil_Nadu,0,10,0
117789,117790,7068508,24,13,single,rented,no,Psychologist,Pudukkottai,Tamil_Nadu,9,14,0
147485,147486,7247559,59,5,single,rented,no,Surgeon,Aurangabad[39],Bihar,5,11,0
232866,232867,9231877,77,13,single,rented,no,Firefighter,Agra,Uttar_Pradesh,10,13,0
101503,101504,5712077,21,0,single,rented,no,Police_officer,Mau,Uttar_Pradesh,0,12,0
244357,244358,8681179,70,20,single,rented,yes,Chartered_Accountant,Moradabad,Uttar_Pradesh,9,11,0
184061,184062,2902285,77,19,single,rented,no,Graphic_Designer,Gudivada,Andhra_Pradesh,11,10,0
149393,149394,2829146,63,7,single,rented,yes,Biomedical_Engineer,Darbhanga,Bihar,4,14,0
107384,107385,6776301,26,17,married,rented,no,Biomedical_Engineer,Buxar[37],Bihar,11,13,0
176023,176024,432951,45,1,single,rented,yes,Technology_specialist,Shivpuri,Madhya_Pradesh,1,11,1
64000,64001,1753313,60,17,single,rented,no,Fashion_Designer,Rourkela,Odisha,14,10,0
140713,140714,7339398,55,11,single,rented,no,Dentist,Jamalpur[36],Bihar,10,11,0
124669,124670,3545686,37,9,single,rented,no,Computer_operator,Kavali,Andhra_Pradesh,6,11,0
215976,215977,315321,68,3,single,owned,no,Biomedical_Engineer,Aurangabad,Maharashtra,3,13,0
91619,91620,5616939,66,3,single,rented,yes,Air_traffic_controller,Amroha,Uttar_Pradesh,3,11,0
77989,77990,3092529,49,1,single,rented,no,Fashion_Designer,Kottayam,Kerala,1,10,1
123235,123236,7219160,24,7,single,rented,yes,Microbiologist,Pune,Maharashtra,5,14,0
218764,218765,1661800,77,9,single,rented,no,Mechanical_engineer,Kottayam,Kerala,3,13,1
218761,218762,7816270,61,0,single,rented,no,Architect,Madhyamgram,West_Bengal,0,11,0
72226,72227,5231498,48,11,single,rented,yes,Technician,Katni,Madhya_Pradesh,3,10,0
56006,56007,4816071,63,17,single,rented,no,Mechanical_engineer,Madanapalle,Andhra_Pradesh,13,14,0
74360,74361,2794573,52,17,single,rented,yes,Industrial_Engineer,Mysore[7][8][9],Karnataka,14,13,0
214576,214577,499939,25,17,married,rented,yes,Chef,Bareilly,Uttar_Pradesh,9,14,0
187348,187349,1737580,39,0,married,rented,no,Flight_attendant,Jamshedpur,Jharkhand,0,13,0
154819,154820,5823961,75,8,single,rented,no,Microbiologist,Warangal[11][12],Telangana,7,12,0
95010,95011,3879880,49,10,single,rented,no,Politician,Farrukhabad,Uttar_Pradesh,10,12,0
10166,10167,4873523,22,15,single,rented,no,Firefighter,Howrah,West_Bengal,3,11,1
215992,215993,9482746,68,10,single,rented,no,Physician,Indore,Madhya_Pradesh,6,11,1
62892,62893,8644057,70,6,single,rented,no,Hotel_Manager,Udupi,Karnataka,5,10,0
160404,160405,3423010,74,3,single,rented,yes,Computer_hardware_engineer,Dehradun,Uttarakhand,3,10,0
190621,190622,9776434,48,11,single,norent_noown,no,Computer_operator,Pudukkottai,Tamil_Nadu,3,13,0
203350,203351,946712,56,6,single,rented,no,Scientist,Mango,Jharkhand,5,11,0
250245,250246,408959,73,2,single,rented,yes,Financial_Analyst,Rajpur_Sonarpur,West_Bengal,2,10,0
65285,65286,7503211,57,6,single,rented,no,Geologist,Indore,Madhya_Pradesh,6,10,0
25399,25400,4212878,28,10,single,rented,yes,Chemical_engineer,Patiala,Punjab,7,14,0
98293,98294,808476,36,1,single,rented,no,Biomedical_Engineer,Deoghar,Jharkhand,1,13,0
30834,30835,6982803,38,17,single,rented,no,Consultant,Bathinda,Punjab,5,11,0
9270,9271,4212878,28,10,single,rented,yes,Chemical_engineer,Patiala,Punjab,7,14,0
123899,123900,5031104,67,1,single,rented,no,Air_traffic_controller,Hosur,Tamil_Nadu,1,10,0
48508,48509,3991815,66,4,married,rented,no,Technical_writer,Alappuzha,Kerala,4,10,0
5839,5840,8893842,74,17,single,rented,yes,Dentist,Ghaziabad,Uttar_Pradesh,9,14,0
18682,18683,7643432,66,17,single,rented,no,Librarian,Belgaum,Karnataka,8,13,0
242459,242460,5843029,62,6,single,rented,no,Surgeon,Shahjahanpur,Uttar_Pradesh,6,14,0
75291,75292,7724990,26,10,single,rented,no,Psychologist,Rourkela,Odisha,4,12,0
87715,87716,1857595,26,19,single,rented,no,Surgeon,Sikar,Rajasthan,12,13,1
1910,1911,853087,70,0,single,rented,yes,Firefighter,Bhagalpur,Bihar,0,10,0
236353,236354,9566258,25,8,single,rented,no,Engineer,Bikaner,Rajasthan,8,14,0
49445,49446,7198404,29,19,single,owned,yes,Graphic_Designer,Patiala,Punjab,6,14,0
52984,52985,1886204,59,0,married,rented,yes,Army_officer,Siwan[32],Bihar,0,10,0
49512,49513,5639809,75,0,single,rented,no,Drafter,Dehradun,Uttarakhand,0,10,0
71713,71714,1169819,72,18,single,rented,yes,Computer_operator,Vadodara,Gujarat,11,10,0
45225,45226,6913078,38,14,married,rented,no,Aviator,Sirsa,Haryana,3,14,1
83141,83142,5988378,24,9,single,rented,no,Official,Avadi,Tamil_Nadu,5,14,0
207537,207538,469269,65,7,single,rented,no,Software_Developer,Nashik,Maharashtra,3,12,1
87923,87924,6580482,48,11,single,rented,no,Chartered_Accountant,Anand,Gujarat,7,10,0
4102,4103,9603796,26,6,single,norent_noown,yes,Technician,Munger,Bihar,6,12,0
